[ProcessExecutor]2021-04-14 05:50:18.857 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 08:37:13.262 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:37:13.360 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:37:13.362 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:37:50.200 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:37:50.202 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:37:50.360 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:37:50.362 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:37:52.868 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:37:52.870 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:37:52.986 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:37:52.988 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:38:29.302 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:38:29.304 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:38:29.528 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:38:29.530 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:38:31.966 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:38:31.968 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:38:32.242 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:38:32.244 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:39:08.279 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:39:08.281 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:39:08.298 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:39:08.301 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:39:10.905 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:39:10.907 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:39:11.028 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:39:11.030 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:39:47.336 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:39:47.338 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:39:47.341 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:39:47.343 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:39:50.074 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:39:50.075 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:39:50.206 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:39:50.211 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:40:27.979 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:40:27.981 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:40:28.191 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:40:28.193 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:40:30.861 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:40:30.863 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:40:30.965 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 08:40:30.967 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:54:join success: 2
[TrainerSchedulerAgent]2021-04-14 08:41:07.626 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:41:07.627 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[TrainerSchedulerAgent]2021-04-14 08:41:07.885 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:58:start to finish
[TrainerSchedulerAgent]2021-04-14 08:41:07.886 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:finish:62:finish success: status: DONE

[ProcessExecutor]2021-04-14 09:24:31.244 | INFO     | fedvision.framework.cluster.executor:execute:31:execute cmd /home/disk1/wqy/data/projects/fedvision/venv/bin/python -m fedvision.paddle_fl.tasks.cli.fl_server --startup-program=startup_program --main-program=main_program >stdout 2>stderr & at .
[TrainerSchedulerAgent]2021-04-14 09:24:32.708 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 09:24:32.711 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 09:24:32.711 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 09:24:32.712 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 09:24:32.897 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:38:waiting channel ready
[TrainerSchedulerAgent]2021-04-14 09:24:32.899 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:start_channel:41:channel ready
[TrainerSchedulerAgent]2021-04-14 09:24:32.899 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:45:start to init
[TrainerSchedulerAgent]2021-04-14 09:24:32.901 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:init_worker:47:init success
[TrainerSchedulerAgent]2021-04-14 09:24:33.432 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
[TrainerSchedulerAgent]2021-04-14 09:24:33.587 | DEBUG    | fedvision.paddle_fl.tasks.utils._trainer:join:50:start to join
